availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
365;0;1;27;500;20221130084001
2075;0;1;-107;1000;20221129220501
349;0;1;30;500;20221130120501
1002;0;1;0;1000;20221130005001
1002;0;1;0;1000;20221130012001
455;0;1;9;500;20221130065001
1001;0;1;0;1000;20221130215001
352;0;1;29;500;20221130144001
351;0;1;29;500;20221130101001
1933;0;1;-93;1000;20221129174801
510;0;1;-2;500;20221130055001
2008;0;1;-100;1000;20221129193201
334;0;1;33;500;20221130131501
2060;0;1;-106;1000;20221129213401
353;0;1;29;500;20221130093001
504;0;1;0;500;20221130051001
1005;0;1;0;1000;20221130222501
2060;0;1;-106;1000;20221129213201
971;0;1;2;1000;20221130185001
368;0;1;26;500;20221130083001
367;0;1;26;500;20221130152001
1343;0;1;-168;500;20221129171201
502;0;1;0;500;20221130041001
335;0;1;33;500;20221130133501
1925;0;1;-92;1000;20221129174401
995;0;1;0;1000;20221130210001
1952;0;1;-95;1000;20221129181001
