availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
325;0;1;4;340;20221130084001
340;0;1;0;340;20221129220501
322;0;1;5;340;20221130120501
340;0;1;0;340;20221130005001
339;0;1;0;340;20221130012001
336;0;1;1;340;20221130065001
339;0;1;0;340;20221130215001
326;0;1;4;340;20221130144001
324;0;1;4;340;20221130101001
339;0;1;0;340;20221129174801
338;0;1;0;340;20221130055001
340;0;1;0;340;20221129193201
324;0;1;4;340;20221130131501
339;0;1;0;340;20221129213401
324;0;1;4;340;20221130093001
338;0;1;0;340;20221130051001
339;0;1;0;340;20221130222501
339;0;1;0;340;20221129213201
340;0;1;0;340;20221130185001
325;0;1;4;340;20221130083001
328;0;1;3;340;20221130152001
338;0;1;0;340;20221129171201
339;0;1;0;340;20221130041001
324;0;1;4;340;20221130133501
339;0;1;0;340;20221129174401
339;0;1;0;340;20221130210001
339;0;1;0;340;20221129181001
340;0;1;0;340;20221130000001
340;0;1;0;340;20221130201501
339;0;1;0;340;20221130215501
340;0;1;0;340;20221129221001
340;0;1;0;340;20221129194801
336;0;1;1;340;20221130064501
323;0;1;5;340;20221130110501
325;0;1;4;340;20221130075002
323;0;1;5;340;20221130104001
339;0;1;0;340;20221130220001
339;0;1;0;340;20221130213001
337;0;1;0;340;20221129165201
339;0;1;0;340;20221129183401
340;0;1;0;340;20221130193001
323;0;1;5;340;20221130113501
340;0;1;0;340;20221129203001
324;0;1;4;340;20221130134001
340;0;1;0;340;20221130193501
338;0;1;0;340;20221130061501
339;0;1;0;340;20221129192001
340;0;1;0;340;20221129192601
340;0;1;0;340;20221130180501
337;0;1;0;340;20221130064001
340;0;1;0;340;20221130003501
325;0;1;4;340;20221130081001
324;0;1;4;340;20221130122001
339;0;1;0;340;20221130013501
340;0;1;0;340;20221130171501
339;0;1;0;340;20221130231501
339;0;1;0;340;20221130022501
336;0;1;1;340;20221129164401
340;0;1;0;340;20221129192801
339;0;1;0;340;20221129212201
324;0;1;4;340;20221130100001
338;0;1;0;340;20221130062001
340;0;1;0;340;20221129234001
339;0;1;0;340;20221130023001
326;0;1;4;340;20221130072501
325;0;1;4;340;20221130082501
339;0;1;0;340;20221130030001
340;0;1;0;340;20221129235001
339;0;1;0;340;20221130212001
328;0;1;3;340;20221130153501
339;0;1;0;340;20221130225501
339;0;1;0;340;20221130212501
339;0;1;0;340;20221129175401
340;0;1;0;340;20221129195401
324;0;1;4;340;20221130092501
340;0;1;0;340;20221130204001
323;0;1;5;340;20221130104501
339;0;1;0;340;20221129183201
339;0;1;0;340;20221129191201
340;0;1;0;340;20221129200201
331;0;1;2;340;20221130161501
339;0;1;0;340;20221130233001
340;0;1;0;340;20221129194001
323;0;1;5;340;20221130112501
337;0;1;0;340;20221129170401
340;0;1;0;340;20221130191001
339;0;1;0;340;20221129213001
336;0;1;1;340;20221129164001
338;0;1;0;340;20221130043501
339;0;1;0;340;20221130020502
338;0;1;0;340;20221130052001
323;0;1;5;340;20221130135501
339;0;1;0;340;20221130214501
339;0;1;0;340;20221129180201
326;0;1;4;340;20221130142001
339;0;1;0;340;20221129192201
340;0;1;0;340;20221130200501
340;0;1;0;340;20221129230501
339;0;1;0;340;20221130022001
337;0;1;0;340;20221130063501
340;0;1;0;340;20221129195801
339;0;1;0;340;20221129212001
340;0;1;0;340;20221130163737
339;0;1;0;340;20221129204401
339;0;1;0;340;20221129212601
340;0;1;0;340;20221129202201
338;0;1;0;340;20221130043001
337;0;1;0;340;20221129165401
323;0;1;5;340;20221130111001
323;0;1;5;340;20221130120001
339;0;1;0;340;20221130041501
324;0;1;4;340;20221130125001
339;0;1;0;340;20221130211001
340;0;1;0;340;20221129225001
329;0;1;3;340;20221130154001
340;0;1;0;340;20221129215501
340;0;1;0;340;20221129193601
339;0;1;0;340;20221130035001
324;0;1;4;340;20221130103001
339;0;1;0;340;20221129172601
338;0;1;0;340;20221129171601
332;0;1;2;340;20221130070501
339;0;1;0;340;20221129182001
339;0;1;0;340;20221130040501
339;0;1;0;340;20221129180601
339;0;1;0;340;20221129174001
326;0;1;4;340;20221130144501
340;0;1;0;340;20221129222501
337;0;1;0;340;20221129165801
324;0;1;4;340;20221130131001
339;0;1;0;340;20221130205001
340;0;1;0;340;20221129224001
340;0;1;0;340;20221130192001
324;0;1;4;340;20221130132001
338;0;1;0;340;20221130055501
339;0;1;0;340;20221130024001
339;0;1;0;340;20221130220501
340;0;1;0;340;20221130181501
338;0;1;0;340;20221130054501
325;0;1;4;340;20221130150501
339;0;1;0;340;20221129183001
340;0;1;0;340;20221129194201
339;0;1;0;340;20221130234534
339;0;1;0;340;20221129174201
339;0;1;0;340;20221130224001
340;0;1;0;340;20221130174501
340;0;1;0;340;20221129232501
326;0;1;4;340;20221130080001
339;0;1;0;340;20221129205201
339;0;1;0;340;20221130210501
338;0;1;0;340;20221130060501
339;0;1;0;340;20221129190001
339;0;1;0;340;20221130163501
339;0;1;0;340;20221129185201
326;0;1;4;340;20221130073501
329;0;1;3;340;20221130155501
340;0;1;0;340;20221130202001
340;0;1;0;340;20221130001501
340;0;1;0;340;20221130182001
337;0;1;0;340;20221129165001
325;0;1;4;340;20221130082001
335;0;1;1;340;20221129163601
340;0;1;0;340;20221130004501
340;0;1;0;340;20221130005501
340;0;1;0;340;20221129233501
324;0;1;4;340;20221130130002
339;0;1;0;340;20221130221501
337;0;1;0;340;20221129164801
340;0;1;0;340;20221129235501
324;0;1;4;340;20221130091501
340;0;1;0;340;20221129195001
339;0;1;0;340;20221129205801
339;0;1;0;340;20221130014501
339;0;1;0;340;20221129191401
340;0;1;0;340;20221129202801
329;0;1;3;340;20221130160501
339;0;1;0;340;20221129181801
340;0;1;0;340;20221130002501
340;0;1;0;340;20221129203201
339;0;1;0;340;20221129191001
339;0;1;0;340;20221130223001
340;0;1;0;340;20221130173001
339;0;1;0;340;20221129185601
340;0;1;0;340;20221129193401
340;0;1;0;340;20221130181001
338;0;1;0;340;20221129184401
329;0;1;3;340;20221130072001
330;0;1;2;340;20221130155001
339;0;1;0;340;20221130223501
339;0;1;0;340;20221130211501
339;0;1;0;340;20221129205401
340;0;1;0;340;20221129220001
339;0;1;0;340;20221130021001
340;0;1;0;340;20221129203401
323;0;1;5;340;20221130114501
336;0;1;1;340;20221130070001
338;0;1;0;340;20221130063001
324;0;1;4;340;20221130095001
338;0;1;0;340;20221130044001
324;0;1;4;340;20221130133001
324;0;1;4;340;20221130094001
332;0;1;2;340;20221130071501
339;0;1;0;340;20221130234619
339;0;1;0;340;20221129205001
340;0;1;0;340;20221129225501
339;0;1;0;340;20221130025501
340;0;1;0;340;20221129204001
340;0;1;0;340;20221129200801
323;0;1;5;340;20221130134501
339;0;1;0;340;20221130162501
339;0;1;0;340;20221130232501
323;0;1;5;340;20221130140001
340;0;1;0;340;20221130172501
339;0;1;0;340;20221129190201
336;0;1;1;340;20221129163801
338;0;1;0;340;20221130045001
323;0;1;5;340;20221130140501
340;0;1;0;340;20221129231501
339;0;1;0;340;20221130042501
339;0;1;0;340;20221130025001
338;0;1;0;340;20221129184601
324;0;1;4;340;20221130132501
324;0;1;4;340;20221130092001
339;0;1;0;340;20221129173401
339;0;1;0;340;20221129182601
339;0;1;0;340;20221130024501
340;0;1;0;340;20221130184155
324;0;1;4;340;20221130094501
325;0;1;4;340;20221130084501
340;0;1;0;340;20221129202001
340;0;1;0;340;20221129194601
338;0;1;0;340;20221130061001
340;0;1;0;340;20221130170501
339;0;1;0;340;20221129183801
338;0;1;0;340;20221130050501
340;0;1;0;340;20221129195201
340;0;1;0;340;20221129215001
339;0;1;0;340;20221129214501
339;0;1;0;340;20221130031501
340;0;1;0;340;20221129202401
324;0;1;4;340;20221130102501
339;0;1;0;340;20221129172201
325;0;1;4;340;20221130083501
339;0;1;0;340;20221129180801
340;0;1;0;340;20221129193801
324;0;1;4;340;20221130102001
337;0;1;0;340;20221129170201
339;0;1;0;340;20221129185401
340;0;1;0;340;20221130194001
339;0;1;0;340;20221129204801
340;0;1;0;340;20221129201001
339;0;1;0;340;20221129180401
326;0;1;4;340;20221130145001
339;0;1;0;340;20221129191601
340;0;1;0;340;20221130170001
340;0;1;0;340;20221130180001
339;0;1;0;340;20221129190601
339;0;1;0;340;20221129210001
340;0;1;0;340;20221130000501
339;0;1;0;340;20221130011501
324;0;1;4;340;20221130095501
335;0;1;1;340;20221130065501
339;0;1;0;340;20221130011001
339;0;1;0;340;20221129173201
323;0;1;5;340;20221130105501
340;0;1;0;340;20221129201401
338;0;1;0;340;20221130162001
339;0;1;0;340;20221130032001
340;0;1;0;340;20221129222001
339;0;1;0;340;20221129182401
338;0;1;0;340;20221130054001
338;0;1;0;340;20221129184201
339;0;1;0;340;20221130012501
340;0;1;0;340;20221130200001
