availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
374;0;1;25;500;20221130084001
402;0;1;19;500;20221129220501
393;0;1;21;500;20221130120501
440;0;1;12;500;20221130005001
440;0;1;12;500;20221130012001
416;0;1;16;500;20221130065001
413;0;1;17;500;20221130215001
403;0;1;19;500;20221130144001
380;0;1;24;500;20221130101001
427;0;1;14;500;20221129174801
438;0;1;12;500;20221130055001
389;0;1;22;500;20221129193201
402;0;1;19;500;20221130131501
395;0;1;21;500;20221129213401
378;0;1;24;500;20221130093001
440;0;1;12;500;20221130051001
435;0;1;13;500;20221130222501
394;0;1;21;500;20221129213201
406;0;1;18;500;20221130185001
375;0;1;25;500;20221130083001
412;0;1;17;500;20221130152001
425;0;1;15;500;20221129171201
440;0;1;12;500;20221130041001
403;0;1;19;500;20221130133501
426;0;1;14;500;20221129174401
405;0;1;19;500;20221130210001
424;0;1;15;500;20221129181001
