availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
302;0;1;42;525;20221130084001
440;0;1;16;525;20221129220501
280;0;1;46;525;20221130120501
459;0;1;12;525;20221130005001
459;0;1;12;525;20221130012001
429;0;1;18;525;20221130065001
425;0;1;19;525;20221130215001
316;0;1;39;525;20221130144001
258;0;1;50;525;20221130101001
400;0;1;23;525;20221129174801
455;0;1;13;525;20221130055001
400;0;1;23;525;20221129193201
294;0;1;44;525;20221130131501
422;0;1;19;525;20221129213401
277;0;1;47;525;20221130093001
460;0;1;12;525;20221130051001
432;0;1;17;525;20221130222501
425;0;1;19;525;20221129213201
396;0;1;24;525;20221130185001
304;0;1;42;525;20221130083001
338;0;1;35;525;20221130152001
383;0;1;27;525;20221129171201
459;0;1;12;525;20221130041001
293;0;1;44;525;20221130133501
399;0;1;24;525;20221129174401
400;0;1;23;525;20221130210001
402;0;1;23;525;20221129181001
460;0;1;12;525;20221130000001
392;0;1;25;525;20221130201501
425;0;1;19;525;20221130215501
440;0;1;16;525;20221129221001
403;0;1;23;525;20221129194801
429;0;1;18;525;20221130064501
262;0;1;50;525;20221130110501
360;0;1;31;525;20221130075002
252;0;1;52;525;20221130104001
427;0;1;18;525;20221130220001
412;0;1;21;525;20221130213001
369;0;1;29;525;20221129165201
396;0;1;24;525;20221129183401
388;0;1;26;525;20221130193001
279;0;1;46;525;20221130113501
409;0;1;22;525;20221129203001
293;0;1;44;525;20221130134001
390;0;1;25;525;20221130193501
445;0;1;15;525;20221130061501
400;0;1;23;525;20221129192001
400;0;1;23;525;20221129192601
424;0;1;19;525;20221130180501
431;0;1;17;525;20221130064001
461;0;1;12;525;20221130003501
330;0;1;37;525;20221130081001
287;0;1;45;525;20221130122001
459;0;1;12;525;20221130013501
402;0;1;23;525;20221130171501
450;0;1;14;525;20221130231501
459;0;1;12;525;20221130022501
366;0;1;30;525;20221129164401
401;0;1;23;525;20221129192801
419;0;1;20;525;20221129212201
267;0;1;49;525;20221130100001
446;0;1;15;525;20221130062001
458;0;1;12;525;20221129234001
459;0;1;12;525;20221130023001
397;0;1;24;525;20221130072501
316;0;1;39;525;20221130082501
459;0;1;12;525;20221130030001
459;0;1;12;525;20221129235001
410;0;1;21;525;20221130212001
349;0;1;33;525;20221130153501
447;0;1;14;525;20221130225501
410;0;1;21;525;20221130212501
405;0;1;22;525;20221129175401
404;0;1;23;525;20221129195401
278;0;1;47;525;20221130092501
398;0;1;24;525;20221130204001
252;0;1;52;525;20221130104501
394;0;1;24;525;20221129183201
398;0;1;24;525;20221129191201
403;0;1;23;525;20221129200201
371;0;1;29;525;20221130161501
451;0;1;14;525;20221130233001
400;0;1;23;525;20221129194001
275;0;1;47;525;20221130112501
377;0;1;28;525;20221129170401
391;0;1;25;525;20221130191001
422;0;1;19;525;20221129213001
364;0;1;30;525;20221129164001
460;0;1;12;525;20221130043501
459;0;1;12;525;20221130020502
459;0;1;12;525;20221130052001
305;0;1;41;525;20221130135501
418;0;1;20;525;20221130214501
402;0;1;23;525;20221129180201
309;0;1;41;525;20221130142001
399;0;1;24;525;20221129192201
389;0;1;25;525;20221130200501
448;0;1;14;525;20221129230501
459;0;1;12;525;20221130022001
431;0;1;17;525;20221130063501
404;0;1;23;525;20221129195801
419;0;1;20;525;20221129212001
392;0;1;25;525;20221130163737
411;0;1;21;525;20221129204401
419;0;1;20;525;20221129212601
408;0;1;22;525;20221129202201
460;0;1;12;525;20221130043001
372;0;1;29;525;20221129165401
262;0;1;50;525;20221130111001
277;0;1;47;525;20221130120001
459;0;1;12;525;20221130041501
289;0;1;44;525;20221130125001
409;0;1;22;525;20221130211001
447;0;1;14;525;20221129225001
349;0;1;33;525;20221130154001
439;0;1;16;525;20221129215501
400;0;1;23;525;20221129193601
459;0;1;12;525;20221130035001
252;0;1;52;525;20221130103001
388;0;1;26;525;20221129172601
382;0;1;27;525;20221129171601
408;0;1;22;525;20221130070501
395;0;1;24;525;20221129182001
459;0;1;12;525;20221130040501
402;0;1;23;525;20221129180601
400;0;1;23;525;20221129174001
318;0;1;39;525;20221130144501
444;0;1;15;525;20221129222501
372;0;1;29;525;20221129165801
294;0;1;44;525;20221130131001
398;0;1;24;525;20221130205001
446;0;1;15;525;20221129224001
391;0;1;25;525;20221130192001
294;0;1;44;525;20221130132001
456;0;1;13;525;20221130055501
459;0;1;12;525;20221130024001
427;0;1;18;525;20221130220501
414;0;1;21;525;20221130181501
456;0;1;13;525;20221130054501
328;0;1;37;525;20221130150501
393;0;1;25;525;20221129183001
401;0;1;23;525;20221129194201
452;0;1;13;525;20221130234534
399;0;1;24;525;20221129174201
435;0;1;17;525;20221130224001
423;0;1;19;525;20221130174501
455;0;1;13;525;20221129232501
358;0;1;31;525;20221130080001
413;0;1;21;525;20221129205201
401;0;1;23;525;20221130210501
444;0;1;15;525;20221130060501
396;0;1;24;525;20221129190001
388;0;1;26;525;20221130163501
397;0;1;24;525;20221129185201
385;0;1;26;525;20221130073501
356;0;1;32;525;20221130155501
393;0;1;25;525;20221130202001
460;0;1;12;525;20221130001501
411;0;1;21;525;20221130182001
370;0;1;29;525;20221129165001
330;0;1;37;525;20221130082001
364;0;1;30;525;20221129163601
460;0;1;12;525;20221130004501
459;0;1;12;525;20221130005501
458;0;1;12;525;20221129233501
293;0;1;44;525;20221130130002
426;0;1;18;525;20221130221501
369;0;1;29;525;20221129164801
459;0;1;12;525;20221129235501
283;0;1;46;525;20221130091501
404;0;1;23;525;20221129195001
414;0;1;21;525;20221129205801
459;0;1;12;525;20221130014501
400;0;1;23;525;20221129191401
409;0;1;22;525;20221129202801
368;0;1;29;525;20221130160501
394;0;1;24;525;20221129181801
460;0;1;12;525;20221130002501
409;0;1;22;525;20221129203201
398;0;1;24;525;20221129191001
432;0;1;17;525;20221130223001
414;0;1;21;525;20221130173001
397;0;1;24;525;20221129185601
400;0;1;23;525;20221129193401
414;0;1;21;525;20221130181001
398;0;1;24;525;20221129184401
404;0;1;23;525;20221130072001
362;0;1;31;525;20221130155001
432;0;1;17;525;20221130223501
410;0;1;21;525;20221130211501
413;0;1;21;525;20221129205401
440;0;1;16;525;20221129220001
459;0;1;12;525;20221130021001
409;0;1;22;525;20221129203401
281;0;1;46;525;20221130114501
429;0;1;18;525;20221130070001
441;0;1;16;525;20221130063001
268;0;1;48;525;20221130095001
460;0;1;12;525;20221130044001
295;0;1;43;525;20221130133001
278;0;1;47;525;20221130094001
408;0;1;22;525;20221130071501
452;0;1;13;525;20221130234619
413;0;1;21;525;20221129205001
448;0;1;14;525;20221129225501
459;0;1;12;525;20221130025501
411;0;1;21;525;20221129204001
403;0;1;23;525;20221129200801
302;0;1;42;525;20221130134501
386;0;1;26;525;20221130162501
450;0;1;14;525;20221130232501
305;0;1;41;525;20221130140001
414;0;1;21;525;20221130172501
396;0;1;24;525;20221129190201
366;0;1;30;525;20221129163801
460;0;1;12;525;20221130045001
305;0;1;41;525;20221130140501
452;0;1;13;525;20221129231501
460;0;1;12;525;20221130042501
459;0;1;12;525;20221130025001
399;0;1;24;525;20221129184601
295;0;1;43;525;20221130132501
283;0;1;46;525;20221130092001
400;0;1;23;525;20221129173401
393;0;1;25;525;20221129182601
459;0;1;12;525;20221130024501
397;0;1;24;525;20221130184155
276;0;1;47;525;20221130094501
301;0;1;42;525;20221130084501
409;0;1;22;525;20221129202001
402;0;1;23;525;20221129194601
447;0;1;14;525;20221130061001
400;0;1;23;525;20221130170501
396;0;1;24;525;20221129183801
460;0;1;12;525;20221130050501
403;0;1;23;525;20221129195201
431;0;1;17;525;20221129215001
429;0;1;18;525;20221129214501
459;0;1;12;525;20221130031501
409;0;1;22;525;20221129202401
250;0;1;52;525;20221130102501
383;0;1;27;525;20221129172201
304;0;1;42;525;20221130083501
400;0;1;23;525;20221129180801
400;0;1;23;525;20221129193801
255;0;1;51;525;20221130102001
373;0;1;28;525;20221129170201
397;0;1;24;525;20221129185401
389;0;1;25;525;20221130194001
413;0;1;21;525;20221129204801
403;0;1;23;525;20221129201001
402;0;1;23;525;20221129180401
324;0;1;38;525;20221130145001
400;0;1;23;525;20221129191601
402;0;1;23;525;20221130170001
424;0;1;19;525;20221130180001
396;0;1;24;525;20221129190601
414;0;1;21;525;20221129210001
460;0;1;12;525;20221130000501
459;0;1;12;525;20221130011501
272;0;1;48;525;20221130095501
421;0;1;19;525;20221130065501
459;0;1;12;525;20221130011001
401;0;1;23;525;20221129173201
258;0;1;50;525;20221130105501
404;0;1;23;525;20221129201401
381;0;1;27;525;20221130162001
459;0;1;12;525;20221130032001
446;0;1;15;525;20221129222001
393;0;1;25;525;20221129182401
458;0;1;12;525;20221130054001
398;0;1;24;525;20221129184201
459;0;1;12;525;20221130012501
391;0;1;25;525;20221130200001
391;0;1;25;525;20221130191501
381;0;1;27;525;20221129170601
459;0;1;12;525;20221130053001
405;0;1;22;525;20221129201801
295;0;1;43;525;20221130085501
404;0;1;23;525;20221129195601
401;0;1;23;525;20221130073001
440;0;1;16;525;20221130224501
393;0;1;25;525;20221129182801
409;0;1;22;525;20221129201601
459;0;1;12;525;20221130021501
252;0;1;52;525;20221130103501
289;0;1;44;525;20221130123501
416;0;1;20;525;20221129211201
409;0;1;22;525;20221129203601
415;0;1;20;525;20221129211801
459;0;1;12;525;20221130031001
419;0;1;20;525;20221129212401
459;0;1;12;525;20221130033001
461;0;1;12;525;20221130003001
278;0;1;47;525;20221130113001
459;0;1;12;525;20221130020001
391;0;1;25;525;20221130194832
392;0;1;25;525;20221130201001
447;0;1;14;525;20221130230001
264;0;1;49;525;20221130101501
459;0;1;12;525;20221130052501
379;0;1;27;525;20221129171001
342;0;1;34;525;20221130081501
287;0;1;45;525;20221130122501
403;0;1;23;525;20221129175801
415;0;1;20;525;20221129210401
415;0;1;20;525;20221129210601
414;0;1;21;525;20221129205601
459;0;1;12;525;20221130053501
293;0;1;44;525;20221130125501
407;0;1;22;525;20221129202601
445;0;1;15;525;20221129223501
414;0;1;21;525;20221130174001
459;0;1;12;525;20221130030501
281;0;1;46;525;20221130114001
412;0;1;21;525;20221130213501
459;0;1;12;525;20221130015501
460;0;1;12;525;20221130002001
460;0;1;12;525;20221130001001
388;0;1;26;525;20221130192501
391;0;1;25;525;20221130195001
309;0;1;41;525;20221130141001
419;0;1;20;525;20221129211601
398;0;1;24;525;20221129192401
460;0;1;12;525;20221130050001
400;0;1;23;525;20221129173801
459;0;1;12;525;20221130015001
397;0;1;24;525;20221129173001
398;0;1;24;525;20221129174601
399;0;1;24;525;20221129181601
367;0;1;30;525;20221129164601
446;0;1;15;525;20221129221501
403;0;1;23;525;20221129201201
451;0;1;14;525;20221129231001
459;0;1;12;525;20221129234501
288;0;1;45;525;20221130123001
392;0;1;25;525;20221130164501
291;0;1;44;525;20221130090501
363;0;1;30;525;20221129164201
421;0;1;19;525;20221130175501
460;0;1;12;525;20221130045501
302;0;1;42;525;20221130135001
415;0;1;20;525;20221129211001
401;0;1;23;525;20221130165001
438;0;1;16;525;20221130225001
426;0;1;18;525;20221130221001
360;0;1;31;525;20221130075501
333;0;1;36;525;20221130151501
414;0;1;21;525;20221129210201
349;0;1;33;525;20221130154501
395;0;1;24;525;20221129184001
403;0;1;23;525;20221129200601
459;0;1;12;525;20221130034001
314;0;1;40;525;20221130143001
388;0;1;26;525;20221130163001
410;0;1;21;525;20221129204201
383;0;1;27;525;20221129171802
393;0;1;25;525;20221130203001
326;0;1;37;525;20221130150001
372;0;1;29;525;20221129170001
460;0;1;12;525;20221130042001
400;0;1;23;525;20221130205501
421;0;1;19;525;20221130175001
404;0;1;23;525;20221129175001
391;0;1;25;525;20221130195501
371;0;1;29;525;20221129165601
282;0;1;46;525;20221130121001
459;0;1;12;525;20221130023501
398;0;1;24;525;20221130204501
295;0;1;43;525;20221130090001
291;0;1;44;525;20221130091001
400;0;1;23;525;20221129193001
395;0;1;24;525;20221130190001
402;0;1;23;525;20221130172001
312;0;1;40;525;20221130142501
282;0;1;46;525;20221130121501
459;0;1;12;525;20221130051501
418;0;1;20;525;20221130173501
459;0;1;12;525;20221130022945
393;0;1;25;525;20221130185501
399;0;1;24;525;20221129191801
397;0;1;24;525;20221129183601
396;0;1;24;525;20221129181201
411;0;1;21;525;20221130071001
459;0;1;12;525;20221130032501
447;0;1;14;525;20221129224501
413;0;1;21;525;20221129204601
459;0;1;12;525;20221130014001
403;0;1;23;525;20221129200401
451;0;1;14;525;20221130233501
397;0;1;24;525;20221130184036
385;0;1;26;525;20221129172001
394;0;1;24;525;20221130202501
447;0;1;14;525;20221130230501
289;0;1;44;525;20221130124001
394;0;1;24;525;20221130203501
400;0;1;23;525;20221130171001
417;0;1;20;525;20221129211401
459;0;1;12;525;20221130010501
331;0;1;36;525;20221130151001
400;0;1;23;525;20221129184801
292;0;1;44;525;20221130124501
372;0;1;29;525;20221130074501
403;0;1;23;525;20221129180001
291;0;1;44;525;20221130130501
460;0;1;12;525;20221130004001
458;0;1;12;525;20221130035501
388;0;1;26;525;20221129172401
444;0;1;15;525;20221129223001
269;0;1;48;525;20221130112001
452;0;1;13;525;20221129232001
430;0;1;18;525;20221130222001
398;0;1;24;525;20221129185801
397;0;1;24;525;20221129181401
415;0;1;20;525;20221129210801
283;0;1;46;525;20221130115001
459;0;1;12;525;20221130013001
428;0;1;18;525;20221129214001
458;0;1;12;525;20221130040001
401;0;1;23;525;20221129173601
427;0;1;18;525;20221129213601
441;0;1;16;525;20221130062501
277;0;1;47;525;20221130093501
460;0;1;12;525;20221130044501
391;0;1;25;525;20221130190501
405;0;1;22;525;20221129175201
342;0;1;34;525;20221130152501
305;0;1;41;525;20221130141501
393;0;1;25;525;20221129182201
422;0;1;19;525;20221129212801
404;0;1;23;525;20221129200001
453;0;1;13;525;20221130060001
258;0;1;50;525;20221130110001
397;0;1;24;525;20221129190401
397;0;1;24;525;20221129190801
252;0;1;52;525;20221130105001
450;0;1;14;525;20221130231001
392;0;1;25;525;20221130164001
358;0;1;31;525;20221130080501
405;0;1;22;525;20221129175601
295;0;1;43;525;20221130085001
459;0;1;12;525;20221130034501
459;0;1;12;525;20221130033501
372;0;1;29;525;20221130074001
448;0;1;14;525;20221129230001
410;0;1;21;525;20221129203801
280;0;1;46;525;20221130115501
457;0;1;12;525;20221129233001
393;0;1;25;525;20221129172801
321;0;1;38;525;20221130145501
368;0;1;29;525;20221130160001
382;0;1;27;525;20221129170801
314;0;1;40;525;20221130143501
459;0;1;12;525;20221130010001
418;0;1;20;525;20221130214001
269;0;1;48;525;20221130111501
381;0;1;27;525;20221129171401
338;0;1;35;525;20221130153001
450;0;1;14;525;20221130232001
264;0;1;49;525;20221130100501
455;0;1;13;525;20221201001501
455;0;1;13;525;20221201002001
455;0;1;13;525;20221201002501
455;0;1;13;525;20221201003001
455;0;1;13;525;20221201003501
455;0;1;13;525;20221201004001
455;0;1;13;525;20221201004501
455;0;1;13;525;20221201005001
455;0;1;13;525;20221201005501
455;0;1;13;525;20221201010001
455;0;1;13;525;20221201010501
455;0;1;13;525;20221201011001
455;0;1;13;525;20221201011501
455;0;1;13;525;20221201012001
455;0;1;13;525;20221201012502
455;0;1;13;525;20221201013001
455;0;1;13;525;20221201013501
455;0;1;13;525;20221201014001
455;0;1;13;525;20221201014501
455;0;1;13;525;20221201015001
455;0;1;13;525;20221201015501
455;0;1;13;525;20221201020001
455;0;1;13;525;20221201020501
455;0;1;13;525;20221201021001
455;0;1;13;525;20221201021501
455;0;1;13;525;20221201022001
455;0;1;13;525;20221201022501
455;0;1;13;525;20221201023001
455;0;1;13;525;20221201023501
