availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
211;0;1;30;304;20221130084001
187;0;1;38;304;20221129220501
156;0;1;48;304;20221130120501
237;0;1;22;304;20221130005001
237;0;1;22;304;20221130012001
248;0;1;18;304;20221130065001
150;0;1;50;304;20221130215001
133;0;1;56;304;20221130144001
178;0;1;41;304;20221130101001
158;0;1;48;304;20221129174801
241;0;1;20;304;20221130055001
65;0;1;78;304;20221129193201
117;0;1;61;304;20221130131501
153;0;1;49;304;20221129213401
190;0;1;37;304;20221130093001
237;0;1;22;304;20221130051001
190;0;1;37;304;20221130222501
155;0;1;49;304;20221129213201
63;0;1;79;304;20221130185001
212;0;1;30;304;20221130083001
140;0;1;53;304;20221130152001
178;0;1;41;304;20221129171201
237;0;1;22;304;20221130041001
119;0;1;60;304;20221130133501
160;0;1;47;304;20221129174401
84;0;1;72;304;20221130210001
133;0;1;56;304;20221129181001
237;0;1;22;304;20221130000001
48;0;1;84;304;20221130201501
150;0;1;50;304;20221130215501
187;0;1;38;304;20221129221001
66;0;1;78;304;20221129194801
248;0;1;18;304;20221130064501
171;0;1;43;304;20221130110501
242;0;1;20;304;20221130075002
175;0;1;42;304;20221130104001
165;0;1;45;304;20221130220001
119;0;1;60;304;20221130213001
181;0;1;40;304;20221129165201
78;0;1;74;304;20221129183401
39;0;1;87;304;20221130193001
161;0;1;47;304;20221130113501
78;0;1;74;304;20221129203001
123;0;1;59;304;20221130134001
39;0;1;87;304;20221130193501
243;0;1;20;304;20221130061501
65;0;1;78;304;20221129192001
63;0;1;79;304;20221129192601
119;0;1;60;304;20221130180501
247;0;1;18;304;20221130064001
237;0;1;22;304;20221130003501
225;0;1;25;304;20221130081001
144;0;1;52;304;20221130122001
237;0;1;22;304;20221130013501
168;0;1;44;304;20221130171501
209;0;1;31;304;20221130231501
238;0;1;21;304;20221130022501
176;0;1;42;304;20221129164401
63;0;1;79;304;20221129192801
138;0;1;54;304;20221129212201
181;0;1;40;304;20221130100001
245;0;1;19;304;20221130062001
230;0;1;24;304;20221129234001
238;0;1;21;304;20221130023001
250;0;1;17;304;20221130072501
217;0;1;28;304;20221130082501
238;0;1;21;304;20221130030001
233;0;1;23;304;20221129235001
95;0;1;68;304;20221130212001
138;0;1;54;304;20221130153501
202;0;1;33;304;20221130225501
102;0;1;66;304;20221130212501
147;0;1;51;304;20221129175401
67;0;1;77;304;20221129195401
194;0;1;36;304;20221130092501
60;0;1;80;304;20221130204001
171;0;1;43;304;20221130104501
78;0;1;74;304;20221129183201
63;0;1;79;304;20221129191201
66;0;1;78;304;20221129200201
143;0;1;52;304;20221130161501
214;0;1;29;304;20221130233001
62;0;1;79;304;20221129194001
166;0;1;45;304;20221130112501
181;0;1;40;304;20221129170401
40;0;1;86;304;20221130191001
151;0;1;50;304;20221129213001
173;0;1;43;304;20221129164001
238;0;1;21;304;20221130043501
237;0;1;22;304;20221130020502
237;0;1;22;304;20221130052001
119;0;1;60;304;20221130135501
131;0;1;56;304;20221130214501
139;0;1;54;304;20221129180201
121;0;1;60;304;20221130142001
65;0;1;78;304;20221129192201
46;0;1;84;304;20221130200501
220;0;1;27;304;20221129230501
237;0;1;22;304;20221130022001
247;0;1;18;304;20221130063501
67;0;1;77;304;20221129195801
138;0;1;54;304;20221129212001
155;0;1;49;304;20221130163737
93;0;1;69;304;20221129204401
141;0;1;53;304;20221129212601
76;0;1;75;304;20221129202201
238;0;1;21;304;20221130043001
181;0;1;40;304;20221129165401
171;0;1;43;304;20221130111001
144;0;1;52;304;20221130120001
237;0;1;22;304;20221130041501
130;0;1;57;304;20221130125001
90;0;1;70;304;20221130211001
217;0;1;28;304;20221129225001
141;0;1;53;304;20221130154001
181;0;1;40;304;20221129215501
64;0;1;78;304;20221129193601
236;0;1;22;304;20221130035001
174;0;1;42;304;20221130103001
168;0;1;44;304;20221129172601
180;0;1;40;304;20221129171601
253;0;1;16;304;20221130070501
99;0;1;67;304;20221129182001
237;0;1;22;304;20221130040501
118;0;1;61;304;20221129180601
160;0;1;47;304;20221129174001
133;0;1;56;304;20221130144501
199;0;1;34;304;20221129222501
181;0;1;40;304;20221129165801
119;0;1;60;304;20221130131001
74;0;1;75;304;20221130205001
214;0;1;29;304;20221129224001
42;0;1;86;304;20221130192001
117;0;1;61;304;20221130132001
240;0;1;21;304;20221130055501
238;0;1;21;304;20221130024001
165;0;1;45;304;20221130220501
109;0;1;64;304;20221130181501
240;0;1;21;304;20221130054501
132;0;1;56;304;20221130150501
82;0;1;73;304;20221129183001
63;0;1;79;304;20221129194201
222;0;1;26;304;20221130234534
159;0;1;47;304;20221129174201
198;0;1;34;304;20221130224001
142;0;1;53;304;20221130174501
230;0;1;24;304;20221129232501
231;0;1;24;304;20221130080001
101;0;1;66;304;20221129205201
85;0;1;72;304;20221130210501
243;0;1;20;304;20221130060501
68;0;1;77;304;20221129190001
155;0;1;49;304;20221130163501
74;0;1;75;304;20221129185201
247;0;1;18;304;20221130073501
139;0;1;54;304;20221130155501
51;0;1;83;304;20221130202001
237;0;1;22;304;20221130001501
102;0;1;66;304;20221130182001
181;0;1;40;304;20221129165001
225;0;1;25;304;20221130082001
174;0;1;42;304;20221129163601
237;0;1;22;304;20221130004501
237;0;1;22;304;20221130005501
230;0;1;24;304;20221129233501
124;0;1;59;304;20221130130002
170;0;1;44;304;20221130221501
179;0;1;41;304;20221129164801
236;0;1;22;304;20221129235501
199;0;1;34;304;20221130091501
69;0;1;77;304;20221129195001
112;0;1;63;304;20221129205801
237;0;1;22;304;20221130014501
64;0;1;78;304;20221129191401
79;0;1;74;304;20221129202801
141;0;1;53;304;20221130160501
99;0;1;67;304;20221129181801
237;0;1;22;304;20221130002501
78;0;1;74;304;20221129203201
66;0;1;78;304;20221129191001
182;0;1;40;304;20221130223001
156;0;1;48;304;20221130173001
74;0;1;75;304;20221129185601
63;0;1;79;304;20221129193401
109;0;1;64;304;20221130181001
78;0;1;74;304;20221129184401
253;0;1;16;304;20221130072001
140;0;1;53;304;20221130155001
190;0;1;37;304;20221130223501
95;0;1;68;304;20221130211501
105;0;1;65;304;20221129205401
184;0;1;39;304;20221129220001
237;0;1;22;304;20221130021001
79;0;1;74;304;20221129203401
160;0;1;47;304;20221130114501
248;0;1;18;304;20221130070001
247;0;1;18;304;20221130063001
185;0;1;39;304;20221130095001
238;0;1;21;304;20221130044001
118;0;1;61;304;20221130133001
188;0;1;38;304;20221130094001
253;0;1;16;304;20221130071501
227;0;1;25;304;20221130234619
100;0;1;67;304;20221129205001
217;0;1;28;304;20221129225501
238;0;1;21;304;20221130025501
85;0;1;72;304;20221129204001
66;0;1;78;304;20221129200801
119;0;1;60;304;20221130134501
151;0;1;50;304;20221130162501
211;0;1;30;304;20221130232501
119;0;1;60;304;20221130140001
156;0;1;48;304;20221130172501
68;0;1;77;304;20221129190201
176;0;1;42;304;20221129163801
238;0;1;21;304;20221130045001
116;0;1;61;304;20221130140501
229;0;1;24;304;20221129231501
237;0;1;22;304;20221130042501
238;0;1;21;304;20221130025001
77;0;1;74;304;20221129184601
118;0;1;61;304;20221130132501
199;0;1;34;304;20221130092001
169;0;1;44;304;20221129173401
94;0;1;69;304;20221129182601
238;0;1;21;304;20221130024501
64;0;1;78;304;20221130184155
188;0;1;38;304;20221130094501
208;0;1;31;304;20221130084501
70;0;1;76;304;20221129202001
65;0;1;78;304;20221129194601
242;0;1;20;304;20221130061001
173;0;1;43;304;20221130170501
75;0;1;75;304;20221129183801
237;0;1;22;304;20221130050501
66;0;1;78;304;20221129195201
165;0;1;45;304;20221129215001
162;0;1;46;304;20221129214501
238;0;1;21;304;20221130031501
75;0;1;75;304;20221129202401
175;0;1;42;304;20221130102501
177;0;1;41;304;20221129172201
212;0;1;30;304;20221130083501
117;0;1;61;304;20221129180801
64;0;1;78;304;20221129193801
178;0;1;41;304;20221130102001
182;0;1;40;304;20221129170201
74;0;1;75;304;20221129185401
47;0;1;84;304;20221130194001
98;0;1;67;304;20221129204801
67;0;1;77;304;20221129201001
125;0;1;58;304;20221129180401
134;0;1;55;304;20221130145001
63;0;1;79;304;20221129191601
169;0;1;44;304;20221130170001
119;0;1;60;304;20221130180001
67;0;1;77;304;20221129190601
116;0;1;61;304;20221129210001
237;0;1;22;304;20221130000501
237;0;1;22;304;20221130011501
189;0;1;37;304;20221130095501
252;0;1;17;304;20221130065501
237;0;1;22;304;20221130011001
164;0;1;46;304;20221129173201
173;0;1;43;304;20221130105501
68;0;1;77;304;20221129201401
146;0;1;51;304;20221130162001
238;0;1;21;304;20221130032001
197;0;1;35;304;20221129222001
92;0;1;69;304;20221129182401
240;0;1;21;304;20221130054001
76;0;1;75;304;20221129184201
237;0;1;22;304;20221130012501
48;0;1;84;304;20221130200001
42;0;1;86;304;20221130191501
182;0;1;40;304;20221129170601
237;0;1;22;304;20221130053001
67;0;1;77;304;20221129201801
210;0;1;30;304;20221130085501
66;0;1;78;304;20221129195601
252;0;1;17;304;20221130073001
200;0;1;34;304;20221130224501
92;0;1;69;304;20221129182801
69;0;1;77;304;20221129201601
237;0;1;22;304;20221130021501
174;0;1;42;304;20221130103501
137;0;1;54;304;20221130123501
130;0;1;57;304;20221129211201
81;0;1;73;304;20221129203601
127;0;1;58;304;20221129211801
238;0;1;21;304;20221130031001
143;0;1;52;304;20221129212401
238;0;1;21;304;20221130033001
237;0;1;22;304;20221130003001
170;0;1;44;304;20221130113001
237;0;1;22;304;20221130020001
49;0;1;83;304;20221130194832
48;0;1;84;304;20221130201001
202;0;1;33;304;20221130230001
178;0;1;41;304;20221130101501
238;0;1;21;304;20221130052501
180;0;1;40;304;20221129171001
228;0;1;25;304;20221130081501
145;0;1;52;304;20221130122501
140;0;1;53;304;20221129175801
121;0;1;60;304;20221129210401
126;0;1;58;304;20221129210601
112;0;1;63;304;20221129205601
238;0;1;21;304;20221130053501
124;0;1;59;304;20221130125501
78;0;1;74;304;20221129202601
206;0;1;32;304;20221129223501
