availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
299;0;1;57;698;20221130084001
466;0;1;33;698;20221129220501
240;0;1;65;698;20221130120501
531;0;1;23;698;20221130005001
533;0;1;23;698;20221130012001
518;0;1;25;698;20221130065001
453;0;1;35;698;20221130215001
236;0;1;66;698;20221130144001
255;0;1;63;698;20221130101001
397;0;1;43;698;20221129174801
555;0;1;20;698;20221130055001
319;0;1;54;698;20221129193201
219;0;1;68;698;20221130131501
430;0;1;38;698;20221129213401
267;0;1;61;698;20221130093001
551;0;1;21;698;20221130051001
475;0;1;31;698;20221130222501
433;0;1;37;698;20221129213201
409;0;1;41;698;20221130185001
299;0;1;57;698;20221130083001
282;0;1;59;698;20221130152001
405;0;1;41;698;20221129171201
550;0;1;21;698;20221130041001
223;0;1;68;698;20221130133501
399;0;1;42;698;20221129174401
405;0;1;41;698;20221130210001
383;0;1;45;698;20221129181001
