availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
91;0;1;39;150;20221130084001
80;0;1;46;150;20221129220501
86;0;1;42;150;20221130120501
89;0;1;40;150;20221130005001
89;0;1;40;150;20221130012001
94;0;1;37;150;20221130065001
66;0;1;56;150;20221130215001
86;0;1;42;150;20221130144001
89;0;1;40;150;20221130101001
92;0;1;38;150;20221129174801
98;0;1;34;150;20221130055001
80;0;1;46;150;20221129193201
86;0;1;42;150;20221130131501
80;0;1;46;150;20221129213401
90;0;1;40;150;20221130093001
96;0;1;36;150;20221130051001
72;0;1;52;150;20221130222501
79;0;1;47;150;20221129213201
76;0;1;49;150;20221130185001
91;0;1;39;150;20221130083001
86;0;1;42;150;20221130152001
88;0;1;41;150;20221129171201
91;0;1;39;150;20221130041001
86;0;1;42;150;20221130133501
92;0;1;38;150;20221129174401
70;0;1;53;150;20221130210001
92;0;1;38;150;20221129181001
91;0;1;39;150;20221130000001
68;0;1;54;150;20221130201501
66;0;1;56;150;20221130215501
80;0;1;46;150;20221129221001
82;0;1;45;150;20221129194801
94;0;1;37;150;20221130064501
88;0;1;41;150;20221130110501
92;0;1;38;150;20221130075002
89;0;1;40;150;20221130104001
67;0;1;55;150;20221130220001
63;0;1;57;150;20221130213001
82;0;1;45;150;20221129165201
87;0;1;42;150;20221129183401
79;0;1;47;150;20221130193001
90;0;1;40;150;20221130113501
80;0;1;46;150;20221129203001
86;0;1;42;150;20221130134001
80;0;1;46;150;20221130193501
95;0;1;36;150;20221130061501
80;0;1;46;150;20221129192001
80;0;1;46;150;20221129192601
75;0;1;50;150;20221130180501
94;0;1;37;150;20221130064001
91;0;1;39;150;20221130003501
91;0;1;39;150;20221130081001
88;0;1;41;150;20221130122001
89;0;1;40;150;20221130013501
83;0;1;44;150;20221130171501
87;0;1;42;150;20221130231501
89;0;1;40;150;20221130022501
81;0;1;46;150;20221129164401
80;0;1;46;150;20221129192801
78;0;1;48;150;20221129212201
88;0;1;41;150;20221130100001
94;0;1;37;150;20221130062001
89;0;1;40;150;20221129234001
89;0;1;40;150;20221130023001
94;0;1;37;150;20221130072501
92;0;1;38;150;20221130082501
89;0;1;40;150;20221130030001
90;0;1;40;150;20221129235001
61;0;1;59;150;20221130212001
88;0;1;41;150;20221130153501
84;0;1;44;150;20221130225501
60;0;1;60;150;20221130212501
92;0;1;38;150;20221129175401
83;0;1;44;150;20221129195401
89;0;1;40;150;20221130092501
69;0;1;54;150;20221130204001
89;0;1;40;150;20221130104501
87;0;1;42;150;20221129183201
79;0;1;47;150;20221129191201
83;0;1;44;150;20221129200201
86;0;1;42;150;20221130161501
87;0;1;42;150;20221130233001
80;0;1;46;150;20221129194001
88;0;1;41;150;20221130112501
84;0;1;44;150;20221129170401
73;0;1;51;150;20221130191001
80;0;1;46;150;20221129213001
82;0;1;45;150;20221129164001
95;0;1;36;150;20221130043501
89;0;1;40;150;20221130020502
97;0;1;35;150;20221130052001
88;0;1;41;150;20221130135501
66;0;1;56;150;20221130214501
92;0;1;38;150;20221129180201
87;0;1;42;150;20221130142001
80;0;1;46;150;20221129192201
69;0;1;54;150;20221130200501
89;0;1;40;150;20221129230501
89;0;1;40;150;20221130022001
94;0;1;37;150;20221130063501
83;0;1;44;150;20221129195801
78;0;1;48;150;20221129212001
83;0;1;44;150;20221130163737
77;0;1;48;150;20221129204401
77;0;1;48;150;20221129212601
80;0;1;46;150;20221129202201
95;0;1;36;150;20221130043001
83;0;1;44;150;20221129165401
88;0;1;41;150;20221130111001
86;0;1;42;150;20221130120001
91;0;1;39;150;20221130041501
85;0;1;43;150;20221130125001
63;0;1;57;150;20221130211001
88;0;1;41;150;20221129225001
87;0;1;42;150;20221130154001
80;0;1;46;150;20221129215501
80;0;1;46;150;20221129193601
91;0;1;39;150;20221130035001
90;0;1;40;150;20221130103001
90;0;1;40;150;20221129172601
87;0;1;42;150;20221129171601
97;0;1;35;150;20221130070501
88;0;1;41;150;20221129182001
91;0;1;39;150;20221130040501
90;0;1;40;150;20221129180601
94;0;1;37;150;20221129174001
86;0;1;42;150;20221130144501
82;0;1;45;150;20221129222501
83;0;1;44;150;20221129165801
87;0;1;42;150;20221130131001
69;0;1;54;150;20221130205001
88;0;1;41;150;20221129224001
73;0;1;51;150;20221130192001
86;0;1;42;150;20221130132001
98;0;1;34;150;20221130055501
89;0;1;40;150;20221130024001
67;0;1;55;150;20221130220501
75;0;1;50;150;20221130181501
98;0;1;34;150;20221130054501
84;0;1;44;150;20221130150501
88;0;1;41;150;20221129183001
80;0;1;46;150;20221129194201
87;0;1;42;150;20221130234534
95;0;1;36;150;20221129174201
76;0;1;49;150;20221130224001
80;0;1;46;150;20221130174501
89;0;1;40;150;20221129232501
93;0;1;38;150;20221130080001
75;0;1;50;150;20221129205201
66;0;1;56;150;20221130210501
96;0;1;36;150;20221130060501
78;0;1;48;150;20221129190001
84;0;1;44;150;20221130163501
78;0;1;48;150;20221129185201
92;0;1;38;150;20221130073501
87;0;1;42;150;20221130155501
67;0;1;55;150;20221130202001
91;0;1;39;150;20221130001501
74;0;1;50;150;20221130182001
82;0;1;45;150;20221129165001
91;0;1;39;150;20221130082001
83;0;1;44;150;20221129163601
91;0;1;39;150;20221130004501
91;0;1;39;150;20221130005501
89;0;1;40;150;20221129233501
86;0;1;42;150;20221130130002
67;0;1;55;150;20221130221501
82;0;1;45;150;20221129164801
90;0;1;40;150;20221129235501
89;0;1;40;150;20221130091501
82;0;1;45;150;20221129195001
76;0;1;49;150;20221129205801
89;0;1;40;150;20221130014501
79;0;1;47;150;20221129191401
79;0;1;47;150;20221129202801
85;0;1;43;150;20221130160501
88;0;1;41;150;20221129181801
91;0;1;39;150;20221130002501
78;0;1;48;150;20221129203201
79;0;1;47;150;20221129191001
72;0;1;52;150;20221130223001
83;0;1;44;150;20221130173001
78;0;1;48;150;20221129185601
80;0;1;46;150;20221129193401
75;0;1;50;150;20221130181001
81;0;1;46;150;20221129184401
97;0;1;35;150;20221130072001
88;0;1;41;150;20221130155001
72;0;1;52;150;20221130223501
61;0;1;59;150;20221130211501
75;0;1;50;150;20221129205401
80;0;1;46;150;20221129220001
89;0;1;40;150;20221130021001
82;0;1;45;150;20221129203401
