availablecapacity;freeparking;isopennow;occupation;totalcapacity;timestamp
461;0;1;23;605;20221130084001
428;0;1;29;605;20221129220501
349;0;1;42;605;20221130120501
510;0;1;15;605;20221130005001
511;0;1;15;605;20221130012001
518;0;1;14;605;20221130065001
396;0;1;34;605;20221130215001
274;0;1;54;605;20221130144001
379;0;1;37;605;20221130101001
382;0;1;36;605;20221129174801
520;0;1;14;605;20221130055001
297;0;1;50;605;20221129193201
292;0;1;51;605;20221130131501
398;0;1;34;605;20221129213401
391;0;1;35;605;20221130093001
519;0;1;14;605;20221130051001
470;0;1;22;605;20221130222501
402;0;1;33;605;20221129213201
232;0;1;61;605;20221130185001
471;0;1;22;605;20221130083001
307;0;1;49;605;20221130152001
407;0;1;32;605;20221129171201
517;0;1;14;605;20221130041001
281;0;1;53;605;20221130133501
385;0;1;36;605;20221129174401
299;0;1;50;605;20221130210001
344;0;1;43;605;20221129181001
